lemma,pos,level,english,example_de,example_en,gender,plural,separable,aux,praesens_ich,praesens_er,praeteritum,partizip_ii,perfekt,comparative,superlative,sources_csv,source_notes
laufen,V,A1,to run/walk,Er lief schnell.,Sie ist einen Marathon gelaufen.,,,,sein,,,lief,gelaufen,ist gelaufen,,,Goethe-Institut; dwds-goethe-A1.csv,A2 Common Verbs; https://www.dwds.de/wb/laufen
schwimmen,V,A1,to swim,Er schwamm im See.,Sie ist einen Kilometer geschwommen.,,,,sein,,,schwamm,geschwommen,ist geschwommen,,,Goethe-Institut; dwds-goethe-A1.csv,A2 Common Verbs; https://www.dwds.de/wb/schwimmen
tanzen,V,A1,to dance,Sie tanzten die ganze Nacht.,Wir haben Salsa getanzt.,,,,haben,,,tanzte,getanzt,hat getanzt,,,Goethe-Institut; dwds-goethe-A1.csv,A2 Common Verbs; https://www.dwds.de/wb/tanzen
beschließen,V,B1,to decide,Das Komitee beschloss die Änderungen.,Sie haben eine neue Strategie beschlossen.,,,,haben,,,beschloss,beschlossen,hat beschlossen,,,Duden; dwds-goethe-B1.csv,B1 Intermediate Verbs; https://www.dwds.de/wb/beschlie%C3%9Fen
entstehen,V,B1,to develop/arise,Daraus entstand eine neue Idee.,Das Problem ist plötzlich entstanden.,,,,sein,,,entstand,entstanden,ist entstanden,,,Duden; dwds-goethe-B1.csv,B1 Intermediate Verbs; https://www.dwds.de/wb/entstehen
erreichen,V,A2,to reach/achieve,Sie erreichte ihr Ziel.,Er hat den Gipfel erreicht.,,,,haben,,,erreichte,erreicht,hat erreicht,,,Duden; dwds-goethe-A2.csv,B1 Intermediate Verbs; https://www.dwds.de/wb/erreichen
verbinden,V,B1,to connect/combine,Er verband die beiden Kabel.,Sie hat Tradition mit Innovation verbunden.,,,,haben,,,verband,verbunden,hat verbunden,,,Duden; dwds-goethe-B1.csv,B1 Intermediate Verbs; https://www.dwds.de/wb/verbinden
bewerten,V,B2,to evaluate/assess,Der Professor bewertete die Arbeiten.,Die Jury hat die Leistungen bewertet.,,,,haben,,,bewertete,bewertet,hat bewertet,,,Duden,B2 Advanced Verbs
durchführen,V,B2,to carry out/conduct,Das Team führte das Experiment durch.,Sie haben eine Studie durchgeführt.,,,,haben,,,führte durch,durchgeführt,hat durchgeführt,,,Duden,B2 Advanced Verbs
übertragen,V,B2,to transfer/transmit,Er übertrug die Verantwortung.,Die Krankheit hat sich schnell übertragen.,,,,haben,,,übertrug,übertragen,hat übertragen,,,Duden,B2 Advanced Verbs
beinhalten,V,C1,to contain/include,Der Vertrag beinhaltete wichtige Klauseln.,Das Angebot hat viele Vorteile beinhaltet.,,,,haben,,,beinhaltete,beinhaltet,hat beinhaltet,,,Duden,C1 Professional Verbs
entsprechen,V,C1,to correspond,Das Ergebnis entsprach den Erwartungen.,Die Leistung hat den Anforderungen entsprochen.,,,,haben,,,entsprach,entsprochen,hat entsprochen,,,Duden,C1 Professional Verbs
erörtern,V,C1,to discuss/debate,Das Gremium erörterte die Vorschläge.,Die Experten haben die Problematik erörtert.,,,,haben,,,erörterte,erörtert,hat erörtert,,,Duden,C1 Professional Verbs
differenzieren,V,C2,to differentiate,Der Experte differenzierte zwischen den Konzepten.,Sie hat genau zwischen den Optionen differenziert.,,,,haben,,,differenzierte,differenziert,hat differenziert,,,Duden,C2 Academic Verbs
gedeihen,V,C2,to thrive/flourish,Das Unternehmen gedieh unter seiner Führung.,Die Pflanzen sind prächtig gediehen.,,,,sein,,,gedieh,gediehen,ist gediehen,,,Duden,C2 Academic Verbs
suggerieren,V,C2,to suggest/imply,Der Text suggerierte eine andere Interpretation.,Die Studie hat einen Zusammenhang suggeriert.,,,,haben,,,suggerierte,suggeriert,hat suggeriert,,,Duden,C2 Academic Verbs
Haus,N,A1,house,Das Haus ist groß.,The house is big.,das,Häuser,,,,,,,,,,Frequency List; Newspaper Corpus; dwds-goethe-A1.csv; learn-deutsch-data:nouns,"regional usage; https://www.dwds.de/wb/Haus; Nouns ending in -us, -ma, -um, -ment, -lein, -chen are often neuter (das). Many one-syllable nouns take an umlaut and ""-er"" in the plural."
schnell,Adj,A1,fast,Ein schneller Zug.,A fast train.,,,,,,,,,,schneller,am schnellsten,Goethe-Institut; dwds-goethe-A1.csv,https://www.dwds.de/wb/schnell
freundlich,Adj,A2,friendly,Eine freundliche Person.,A friendly person.,,,,,,,,,,freundlicher,am freundlichsten,Duden; dwds-goethe-A2.csv,https://www.dwds.de/wb/freundlich
gern,Adv,A1,gladly,Ich lese gern.,I like to read.,,,,,,,,,,,,Goethe-Institut; dwds-goethe-A1.csv,https://www.dwds.de/wb/gern
ich,Pron,A1,I,Ich bin hier.,I am here.,,,,,,,,,,,,Goethe-Institut,
ab,Präp,A1,beginning at that time or location; from,Ab heute verfügbar.,Available from today.,,,,,,,,,,,,dwds-goethe-A1.csv; Manual Apply,https://www.dwds.de/wb/ab#1
Abend,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Abend
aber,Konj,A1,but,Aber natürlich!,,,,,,,,,,,,,dwds-goethe-A1.csv; Manual Apply,https://www.dwds.de/wb/aber#1
abfahren,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/abfahren
Abfahrt,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Abfahrt
abfliegen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/abfliegen
Abflug,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Abflug
abgeben,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/abgeben
abholen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/abholen
Absender,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Absender
Achtung,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Achtung
Adresse,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Adresse
alle,Pron,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/alle#2
alles,Pron,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/alles
also,Konj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/also#1
alt,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/alt
Alter,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Alter
an,Präp,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/an#1
an,Adv,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/an#2
anbieten,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/anbieten
Anfang,N,A1,"start, beginning, origin (spatially or temporally)","1545, Martin Luther, Biblia: das ist: Die gantze Heilige Schrifft: Deudsch Auffs new zugericht, Moses I (Genesis) 1:1","In the beginning, God created heaven and earth.",der,,,,,,,,,,,dwds-goethe-A1.csv; Manual Apply,https://www.dwds.de/wb/Anfang
anfangen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/anfangen
Angebot,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Angebot
anklicken,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/anklicken
ankommen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/ankommen
ankreuzen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/ankreuzen
Ankunft,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Ankunft
anmachen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/anmachen
anmelden,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/anmelden
Anmeldung,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Anmeldung
Anrede,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Anrede
Anruf,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Anruf
Anrufbeantworter,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Anrufbeantworter
anrufen,V,A1,to call (phone),,,,,true,,rufe an,ruft an,,,,,,dwds-goethe-A1.csv; learn-deutsch-data:verbs,"https://www.dwds.de/wb/anrufen; ""anrufen"" is a separable verb. The prefix ""an-"" goes to the end of the clause in the present tense."
Ansage,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Ansage
Anschluss,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Anschluss
Antwort,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Antwort
antworten,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/antworten
Anzeige,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Anzeige
anziehen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/anziehen
Apartment,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Apartment
Apfel,N,A1,apple,,,der,Äpfel,,,,,,,,,,dwds-goethe-A1.csv; learn-deutsch-data:nouns,"https://www.dwds.de/wb/Apfel; Masculine nouns often have plurals with an umlaut and no ending, or just an umlaut."
Appartement,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Appartement
Appetit,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Appetit
April,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/April
Arbeit,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Arbeit
arbeitslos,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/arbeitslos
Arbeitsplatz,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Arbeitsplatz
Arm,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Arm
Arzt,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Arzt
auch,Konj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/auch
auf,Präp,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/auf#1
auf sein,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/auf%20sein
Aufgabe,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Aufgabe
aufhören,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/aufh%C3%B6ren
aufstehen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/aufstehen
Aufzug,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Aufzug
Auge,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Auge
August,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/August#1
aus,Präp,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/aus#1
aus sein,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/aus%20sein
Ausflug,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Ausflug
ausfüllen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/ausf%C3%BCllen
Ausgang,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Ausgang
Auskunft,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Auskunft
Ausland,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Ausland
Ausländer,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Ausl%C3%A4nder
ausländisch,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/ausl%C3%A4ndisch
ausmachen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/ausmachen
Aussage,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Aussage
aussehen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/aussehen
aussteigen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/aussteigen
Ausweis,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Ausweis
ausziehen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/ausziehen
Auto,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Auto
Autobahn,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Autobahn
Automat,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Automat
automatisch,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/automatisch
Baby,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Baby
Bad,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Bad
baden,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/baden
Bahn,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Bahn
Bahnhof,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Bahnhof
Bahnsteig,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Bahnsteig
bald,Adv,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/bald
Balkon,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Balkon
Banane,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Banane
Bank,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Bank#1; https://www.dwds.de/wb/Bank#2
bar,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/bar#1
Bauch,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Bauch
Baum,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Baum
Beamte,N,A1,,,,"der, die",,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Beamte
bedeuten,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/bedeuten
beginnen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/beginnen
bei,Präp,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/bei#1
Bein,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Bein
Beispiel,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Beispiel
Bekannte,N,A1,,,,"die, der",,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Bekannte
bekommen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/bekommen
benutzen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/benutzen
Beruf,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Beruf
besichtigen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/besichtigen
bestellen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/bestellen
besuchen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/besuchen
Bett,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Bett
bezahlen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/bezahlen
Bier,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Bier
Bild,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Bild
billig,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/billig
Birne,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Birne
bisschen,Adv,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/bisschen
Bitte,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Bitte
bitte,Part,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/bitte
bitten,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/bitten
bitter,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/bitter
blau,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/blau
bleiben,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/bleiben
Bleistift,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Bleistift
Blick,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Blick#1
Blume,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Blume
Bogen,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Bogen#2
brauchen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/brauchen
braun,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/braun
breit,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/breit
Brief,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Brief
Briefmarke,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Briefmarke
bringen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/bringen
Brot,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Brot
Bruder,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Bruder
Brötchen,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Br%C3%B6tchen
Buch,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Buch
Buchstabe,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Buchstabe
buchstabieren,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/buchstabieren
Bus,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Bus
