lemma,level,english,example_de,example_en,gender,plural,approved,sources_csv,source_notes
Drucker,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Drucker
Durchsage,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Durchsage
Durst,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Durst
Dusche,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Dusche
E-Mail,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/E-Mail
Ecke,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Ecke
Ehefrau,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Ehefrau
Ehemann,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Ehemann
Ei,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Ei
Eingang,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Eingang
Einladung,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Einladung
Eintritt,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Eintritt
Einzelzimmer,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Einzelzimmer
Eltern,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Eltern
Empfänger,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Empf%C3%A4nger
Ende,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Ende
Entschuldigung,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Entschuldigung
Ergebnis,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Ergebnis
Erwachsene,A1,,,,"die, der",,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Erwachsene
Essen,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Essen
Euro,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Euro#1
Europäer,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Europ%C3%A4er
Fahrer,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Fahrer
Fahrkarte,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Fahrkarte
Fahrrad,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Fahrrad
Familie,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Familie
Familienname,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Familienname
Familienstand,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Familienstand
Farbe,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Farbe
Fax,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Fax
Februar,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Februar
Fehler,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Fehler
Feierabend,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Feierabend
Feiertag,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Feiertag
Feuer,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Feuer
Fieber,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Fieber
Film,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Film
Firma,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Firma
Fisch,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Fisch
Flasche,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Flasche
Fleisch,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Fleisch
Flughafen,A1,airport,,,der,Flughäfen,false,dwds-goethe-A1.csv; learn-deutsch-data:nouns,https://www.dwds.de/wb/Flughafen; Compound nouns take the gender of the last word (der Hafen). The plural often follows the last word's plural form.
Flugzeug,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Flugzeug
Formular,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Formular
Foto,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Foto#1
Frage,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Frage
Frau,A1,woman/Mrs.,,,die,Frauen,false,dwds-goethe-A1.csv; learn-deutsch-data:nouns,"https://www.dwds.de/wb/Frau; Feminine nouns often form the plural by adding ""-en"" or ""-n""."
Freitag,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Freitag
Freizeit,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Freizeit
Freund,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Freund
Frühjahr,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Fr%C3%BChjahr
Frühling,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Fr%C3%BChling
Frühstück,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Fr%C3%BChst%C3%BCck
Fuß,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Fu%C3%9F
Fußball,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Fu%C3%9Fball
Führung,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/F%C3%BChrung
Garten,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Garten
Gast,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Gast#1
Geburtsjahr,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Geburtsjahr
Geburtsort,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Geburtsort
Geburtstag,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Geburtstag
Geld,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Geld
Gemüse,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Gem%C3%BCse
Gepäck,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Gep%C3%A4ck
Geschenk,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Geschenk
Geschwister,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Geschwister
Geschäft,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Gesch%C3%A4ft
Gespräch,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Gespr%C3%A4ch
Getränk,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Getr%C3%A4nk
Gewicht,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Gewicht
Glas,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Glas#1
Gleis,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Gleis
Glück,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Gl%C3%BCck
Glückwunsch,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Gl%C3%BCckwunsch
Grad,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Grad
Gramm,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Gramm
Großeltern,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Gro%C3%9Feltern
Großmutter,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Gro%C3%9Fmutter
Großvater,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Gro%C3%9Fvater
Gruppe,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Gruppe
Gruß,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Gru%C3%9F
Größe,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Gr%C3%B6%C3%9Fe
Haar,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Haar
Halbpension,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Halbpension
Halle,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Halle
Haltestelle,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Haltestelle
Hand,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Hand
Handy,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Handy
Hausaufgabe,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Hausaufgabe
Hausfrau,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Hausfrau
Hausmann,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Hausmann
Heimat,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Heimat
Herbst,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Herbst
Herd,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Herd
Herr,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Herr
Hilfe,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Hilfe
Hobby,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Hobby
Hochzeit,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Hochzeit#1
Hotel,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Hotel
Hund,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Hund#1
Hunger,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Hunger
Hähnchen,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/H%C3%A4hnchen
Information,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Information
Internet,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Internet
Jacke,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Jacke
Jahr,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Jahr
Januar,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Januar
Job,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Job
Jugendliche,A1,,,,"die, der",,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Jugendliche
Juli,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Juli
Junge,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Junge#1
Juni,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Juni
Kaffee,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Kaffee#1
Karte,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Karte
Kartoffel,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Kartoffel
Kasse,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Kasse
Kilo,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Kilo
Kilogramm,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Kilogramm
Kilometer,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Kilometer
Kind,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Kind
Kindergarten,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Kindergarten
Kino,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Kino
Kiosk,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Kiosk
Klasse,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Klasse
Kleidung,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Kleidung
Koffer,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Koffer
Kollege,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Kollege
Konto,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Konto
Kopf,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Kopf
Kreditkarte,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Kreditkarte
Kuchen,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Kuchen
Kugelschreiber,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Kugelschreiber
Kunde,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Kunde#1
Kundin,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Kundin
Kurs,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Kurs#2
Küche,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/K%C3%BCche
Kühlschrank,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/K%C3%BChlschrank
Laden,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Laden
Land,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Land
Leben,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Leben
Lebensmittel,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Lebensmittel
Lehrer,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Lehrer
Leute,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Leute
Licht,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Licht
Lied,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Lied
Liter,A1,,,,"der, das",,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Liter
LKW,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/LKW; https://www.dwds.de/wb/Lkw
Lokal,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Lokal
Lösung,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/L%C3%B6sung
Mai,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Mai
Mann,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Mann
Maschine,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Maschine
Meer,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Meer
Mensch,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Mensch#1
Meter,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Meter
Miete,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Miete#1
Milch,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Milch
Milliarde,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Milliarde
Million,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Million
Minute,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Minute
Mittag,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Mittag#1
Mitte,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Mitte
Mittwoch,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Mittwoch
Moment,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Moment#1
Montag,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Montag
Morgen,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Morgen
Mund,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Mund#1
Mutter,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Mutter
Mädchen,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/M%C3%A4dchen
März,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/M%C3%A4rz
Möbel,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/M%C3%B6bel
Nachmittag,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Nachmittag
Name,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Name
Namen,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Namen
Norden,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Norden
November,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/November
Nummer,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Nummer
Obst,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Obst
Oktober,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Oktober
Oma,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Oma
Opa,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Opa
Ordnung,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Ordnung
Ort,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Ort#1
Osten,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Osten
